ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;WPts;LPts
29;Hamburg;Hamburg TMS;18/05/2006;Masters;Outdoor;Clay;3rd Round;3;Ancic M.;Blake J.;13;7;4;6;7;5;7;6;;;;;2;1;Completed;1505;1865
29;Hamburg;Hamburg TMS;18/05/2006;Masters;Outdoor;Clay;3rd Round;3;Acasuso J.;Grosjean S.;30;23;7;5;6;4;;;;;;;2;0;Completed;940;1270
29;Hamburg;Hamburg TMS;18/05/2006;Masters;Outdoor;Clay;3rd Round;3;Robredo T.;Mathieu P.H.;12;38;6;3;6;3;;;;;;;2;0;Completed;1560;860
29;Hamburg;Hamburg TMS;18/05/2006;Masters;Outdoor;Clay;3rd Round;3;Verdasco F.;Gonzalez F.;34;8;3;6;6;2;6;3;;;;;2;1;Completed;895;1730
29;Hamburg;Hamburg TMS;18/05/2006;Masters;Outdoor;Clay;3rd Round;3;Davydenko N.;Nieminen J.;6;17;6;1;6;3;;;;;;;2;0;Completed;2345;1450
29;Hamburg;Hamburg TMS;19/05/2006;Masters;Outdoor;Clay;Quarterfinals;3;Stepanek R.;Mirnyi M.;16;59;7;6;6;1;;;;;;;2;0;Completed;1460;665
29;Hamburg;Hamburg TMS;19/05/2006;Masters;Outdoor;Clay;Quarterfinals;3;Acasuso J.;Verdasco F.;30;34;6;1;6;7;6;3;;;;;2;1;Completed;940;895
29;Hamburg;Hamburg TMS;19/05/2006;Masters;Outdoor;Clay;Quarterfinals;3;Ancic M.;Davydenko N.;13;6;5;7;7;6;6;3;;;;;2;1;Completed;1505;2345
29;Hamburg;Hamburg TMS;19/05/2006;Masters;Outdoor;Clay;Quarterfinals;3;Robredo T.;Ferrer D.;12;20;7;6;6;4;;;;;;;2;0;Completed;1560;1385
29;Hamburg;Hamburg TMS;20/05/2006;Masters;Outdoor;Clay;Semifinals;3;Stepanek R.;Acasuso J.;16;30;6;4;7;6;;;;;;;2;0;Completed;1460;940
29;Hamburg;Hamburg TMS;20/05/2006;Masters;Outdoor;Clay;Semifinals;3;Robredo T.;Ancic M.;12;13;7;5;6;4;;;;;;;2;0;Completed;1560;1505
29;Hamburg;Hamburg TMS;21/05/2006;Masters;Outdoor;Clay;The Final;5;Robredo T.;Stepanek R.;12;16;6;1;6;3;6;3;;;;;3;0;Completed;1560;1460
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Chela J.;Wang Y.;38;88;6;3;6;1;;;;;;;2;0;Completed;845;450
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Novak J.;Phau B.;127;62;6;3;6;3;;;;;;;2;0;Completed;345;629
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Melzer J.;Koubek S.;75;123;6;4;7;5;;;;;;;2;0;Completed;555;360
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Gasquet R.;Hrbaty D.;43;24;6;0;4;6;6;3;;;;;2;1;Completed;825;1250
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Almagro N.;Rochus C.;42;76;6;2;6;1;;;;;;;2;0;Completed;826;555
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Starace P.;Martin A.;78;68;7;5;7;6;;;;;;;2;0;Completed;517;589
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Pavel A.;Berlocq C.;111;82;7;5;6;2;;;;;;;2;0;Completed;383;503
30;Portschach;Hypo Group Tennis International;22/05/2006;International;Outdoor;Clay;1st Round;3;Daniel M.;Hewitt L.;89;14;3;6;6;3;7;6;;;;;2;1;Completed;449;1580
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Seppi A.;Dlouhy L.;69;85;6;3;6;4;;;;;;;2;0;Completed;586;465
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Horna L.;Moodie W.;53;73;7;6;6;3;;;;;;;2;0;Completed;742;560
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Marach O.;Spadea V.;97;71;6;4;6;3;;;;;;;2;0;Completed;422;570
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Davydenko N.;Zib T.;6;106;6;3;6;0;;;;;;;2;0;Completed;2295;399
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Ramirez-Hidalgo R.;Lapentti N.;80;128;4;6;6;4;6;3;;;;;2;1;Completed;511;342
30;Portschach;Hypo Group Tennis International;23/05/2006;International;Outdoor;Clay;1st Round;3;Simon G.;Popp T.;48;289;7;5;6;4;;;;;;;2;0;Completed;785;119
