ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;WPts;LPts
20;Miami;Sony Ericsson Open;24/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Haas T.;Dolgopolov O.;18;22;6;3;6;2;;;;;;;2;0;Completed;1925;1635
20;Miami;Sony Ericsson Open;24/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Tipsarevic J.;Anderson K.;9;29;4;6;7;6;6;0;;;;;2;1;Completed;3090;1190
20;Miami;Sony Ericsson Open;24/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Simon G.;Zemlja G.;13;62;6;4;6;4;;;;;;;2;0;Completed;2300;762
20;Miami;Sony Ericsson Open;24/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Djokovic N.;Devvarman S.;1;254;6;2;6;4;;;;;;;2;0;Completed;13280;182
20;Miami;Sony Ericsson Open;24/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Melzer J.;Kamke T.;42;89;6;7;6;3;6;4;;;;;2;1;Completed;940;594
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Ramos A.;Blake J.;61;95;6;4;2;6;7;5;;;;;2;1;Completed;765;563
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Gasquet R.;Youzhny M.;10;31;6;3;6;4;;;;;;;2;0;Completed;2960;1175
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Almagro N.;Goffin D.;12;47;6;3;6;4;;;;;;;2;0;Completed;2435;838
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Seppi A.;Bellucci T.;19;40;7;5;4;6;6;2;;;;;2;1;Completed;1785;952
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Murray A.;Dimitrov G.;3;32;7;6;6;3;;;;;;;2;0;Completed;8350;1157
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Berdych T.;Falla A.;6;60;2;6;7;6;6;4;;;;;2;1;Completed;5010;776
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Tsonga J.W.;Nieminen J.;8;49;6;3;6;3;;;;;;;2;0;Completed;3750;825
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Cilic M.;Isner J.;11;23;6;3;7;6;;;;;;;2;0;Completed;2570;1535
20;Miami;Sony Ericsson Open;25/03/2013;Masters 1000;Outdoor;Hard;3rd Round;3;Querrey S.;Raonic M.;20;16;;;;;;;;;;;;;Walkover;1760;2095
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Ferrer D.;Nishikori K.;5;15;6;4;6;2;;;;;;;2;0;Completed;6630;2135
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Melzer J.;Ramos A.;42;61;2;6;6;3;6;3;;;;;2;1;Completed;940;765
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Gasquet R.;Almagro N.;10;12;6;7;7;5;7;6;;;;;2;1;Completed;2960;2435
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Murray A.;Seppi A.;3;19;6;2;6;4;;;;;;;2;0;Completed;8350;1785
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Berdych T.;Querrey S.;6;20;6;1;6;1;;;;;;;2;0;Completed;5010;1760
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Cilic M.;Tsonga J.W.;11;8;7;5;7;6;;;;;;;2;0;Completed;2570;3750
20;Miami;Sony Ericsson Open;26/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Simon G.;Tipsarevic J.;13;9;5;7;6;2;6;2;;;;;2;1;Completed;2300;3090
20;Miami;Sony Ericsson Open;27/03/2013;Masters 1000;Outdoor;Hard;4th Round;3;Haas T.;Djokovic N.;18;1;6;2;6;4;;;;;;;2;0;Completed;1925;13280
